SWP,Date,VisitNumber,CloudCover,WindSpeed,Temp,StartTime,EndTime,Observer,DisturbanceCat,TreeCover,MidCanopy,PerNatMA,NatRichnessMA,abund,rich,Shannon,Even,Simpson,SpeciesRichness
1227,08-May-18,1,0,4,17,10:40:00,12:00:00,Jesse,3,5,5,0.268292683,11,0,0,0,-0,1,0
1227,07-Jun-18,2,80,3.0-4,19,01:46:00,03:15:00,Jesse,3,5,5,0.268292683,11,2,2,0.6931471805599453,1,0.5,2
1227,03-Jul-18,3,0,1.-2,29,02:22:00,03:27:00,Jesse,3,5,5,0.268292683,11,19,8,1.8509384343524815,0.8901132334103692,0.814404432132964,8
1227,27-Jul-18,4,40-80,3,26,12:30:00,01:43:00,Jesse,3,5,5,0.268292683,11,6,2,0.6365141682948128,0.9182958340544894,0.4444444444444444,2
1209,08-May-18,1,0,4,22,12:45:00,02:04:00,Jesse,1,2,4,0.651162791,28,1,1,0,NA,0,1
1209,15-Jun-18,2,10,2.-3,23,01:45:00,02:58:00,Jesse,1,2,4,0.651162791,28,1,1,0,NA,0,1
1209,09-Jul-18,3,0,3,25,09:40:00,11:00:00,Jesse,1,2,4,0.651162791,28,31,7,1.643144247999453,0.8444091053213094,0.7617065556711758,7
1209,26-Jul-18,4,35,2,26,12:58:00,01:04:00,Jesse,1,2,4,0.651162791,28,13,2,0.666278442414676,0.961236604722876,0.47337278106508873,2
1204,09-May-18,1,10,3,26,01:30:00,02:45:00,Jesse,1,7,18,0.666666667,30,0,0,0,-0,1,0
1204,12-Jun-18,2,15,3.-4,27,02:06:00,03:23:00,Jesse,1,7,18,0.666666667,30,17,5,1.2033320406994705,0.7476722347614897,0.602076124567474,5
1204,03-Jul-18,3,0,1,24,09:53:00,11:17:00,Jesse,1,7,18,0.666666667,30,22,7,1.8315887189462852,0.9412504065696312,0.8264462809917356,7
1204,14-Aug-18,4,90,1,27,12:15:00,01:45:00,Jesse,1,7,18,0.666666667,30,30,9,1.9033312448851598,0.8662433801794817,0.8133333333333334,9
1347,09-May-18,1,20,4,27,03:18:00,04:35:00,Jesse,1,3,8,0.551724138,32,0,0,0,-0,1,0
1347,07-Jun-18,2,60,2,17,11:19:00,12:54:00,Jesse,1,3,8,0.551724138,32,7,4,1.277034259466139,0.9211854965885543,0.6938775510204083,4
1347,03-Jul-18,3,0,1,27,11:42:00,01:08:00,Jesse,1,3,8,0.551724138,32,26,9,1.8277744156205078,0.8318559852613653,0.7958579881656804,9
1347,31-Jul-18,4,5+10 light clouds,1,22,10:15:00,11:31:00,Jesse,1,3,8,0.551724138,32,5,2,0.6730116670092565,0.9709505944546688,0.48,2
1616,14-May-18,1,8,2,17,09:45:00,10:20:00,Jesse,1,3,10,0.536585366,22,0,0,0,-0,1,0
1616,21-Jun-18,2,1,0.-2,17,12:32:00,01:48:00,Jesse,1,3,10,0.536585366,22,6,2,0.6931471805599453,1,0.5,2
1616,11-Jul-18,3,15,2,25,02:28:00,03:41:00,Jesse,1,3,10,0.536585366,22,6,3,1.0114042647073518,0.920619835714305,0.6111111111111112,3
1616,13-Aug-18,4,40,2,23,09:55:00,11:18:00,Jesse,1,3,10,0.536585366,22,28,6,1.5799580509919275,0.8817913777637921,0.7576530612244898,6
1133,14-May-18,1,5,2,22,11:18:00,12:47:00,Jesse,2,5,15,0.580645161,18,7,3,0.796311640173813,0.7248340915057598,0.44897959183673464,3
1133,08-Jun-18,2,0,1,22,02:23:00,03:30:00,Jesse,2,5,15,0.580645161,18,4,2,0.5623351446188083,0.8112781244591328,0.375,2
1133,04-Jul-18,3,5,0,25,09:50:00,10:55:00,Jesse,2,5,15,0.580645161,18,20,2,0.1985152433458726,0.2863969571159562,0.09500000000000008,2
1133,23-Jul-18,4,80-95,2,30,02:07:00,03:12:00,Jesse,2,5,15,0.580645161,18,20,1,0,NA,0,1
1127,14-May-18,1,60,4,26,02:05:00,03:20:00,Jesse,2,5,5,0.774193548,24,1,1,0,NA,0,1
1127,08-Jun-18,2,0,2,18,10:08:00,11:28:00,Jesse,2,5,5,0.774193548,24,10,4,1.2798542258336676,0.9232196723355078,0.7,4
1127,04-Jul-18,3,7,1.-2,32,11:30:00,12:43:00,Jesse,2,5,5,0.774193548,24,14,4,1.30130555043691,0.9386935321483064,0.7040816326530612,4
1127,23-Jul-18,4,80,2-3.,28,11:37:00,12:46:00,Jesse,2,5,5,0.774193548,24,14,5,1.2700181519104903,0.7891066453068236,0.653061224489796,5
1134,16-May-18,1,0,2,13,10:23:00,11:31:00,Jesse,1,30,10,0.575,23,1,1,0,NA,0,1
1134,08-Jun-18,2,0,1,20,12:32:00,01:45:00,Jesse,1,30,10,0.575,23,15,4,0.7201248812718097,0.5194602975157967,0.34666666666666657,4
1134,04-Jul-18,3,1,1,34,02:05:00,03:15:00,Jesse,1,30,10,0.575,23,15,4,1.0625354080615974,0.7664572819896989,0.5955555555555556,4
1134,23-Jul-18,4,25-80,1,23,10:00:00,11:10:00,Jesse,1,30,10,0.575,23,9,2,0.6365141682948128,0.9182958340544894,0.4444444444444444,2
1206,16-May-18,1,0,4,18,12:27:00,01:45:00,Jesse,1,10,25,0.613636364,27,7,1,0,NA,0,1
1206,21-Jun-18,2,0,3,21,02:50:00,03:59:00,Jesse,1,10,25,0.613636364,27,6,1,0,NA,0,1
1206,06-Jul-18,3,60,4,21,10:21:00,11:42:00,Jesse,1,10,25,0.613636364,27,8,3,1.0397207708399179,0.946394630357186,0.625,3
1206,31-Jul-18,4,40,1,24,12:30:00,01:40:00,Jesse,1,10,25,0.613636364,27,13,3,0.5359610497090694,0.4878527713892913,0.2721893491124261,3
1314,16-May-18,1,0,3,23,02:20:00,03:33:00,Jesse,3,25,10,0.705882353,36,3,2,0.6365141682948128,0.9182958340544894,0.4444444444444444,2
1314,12-Jun-18,2,30 but light clouds,2,22,10:03:00,11:20:00,Jesse,3,25,10,0.705882353,36,3,2,0.6365141682948128,0.9182958340544894,0.4444444444444444,2
1314,06-Jul-18,3,80,3.-4,18,12:33:00,02:03:00,Jesse,3,25,10,0.705882353,36,5,1,0,NA,0,1
1314,29-Jul-18,4,25,1,28,02:34:00,03:45:00,Jesse,3,25,10,0.705882353,36,7,2,0.5982695885852573,0.8631205685666311,0.40816326530612246,2
1310,17-May-18,1,2,4,19.5,01:53:00,03:17:00,Jesse,1,5,15,0.564516129,35,13,3,0.5359610497090694,0.4878527713892913,0.2721893491124261,3
1310,15-Jun-18,2,7,1,18,09:56:00,11:16:00,Jesse,1,5,15,0.564516129,35,20,5,1.2348391579906925,0.7672487074217932,0.6299999999999999,5
1310,09-Jul-18,3,0,2,29,11:20:00,12:35:00,Jesse,1,5,15,0.564516129,35,18,3,1.0608569471580214,0.965633607142825,0.6419753086419753,3
1310,13-Aug-18,4,60,1,26,02:08:00,03:35:00,Jesse,1,5,15,0.564516129,35,70,7,1.5949705302093495,0.8196527116031871,0.746938775510204,7
1622,23-May-18,1,40,2,18,10:04:00,11:22:00,Jesse,3,20,5,0.55,22,0,0,0,-0,1,0
1622,29-Jun-18,2,0,1,25,11:39:00,12:41:00,Jesse,3,20,5,0.55,22,7,1,0,NA,0,1
1622,18-Jul-18,3,30,1,22,02:40:00,03:42:00,Jesse,3,20,5,0.55,22,4,2,0.5623351446188083,0.8112781244591328,0.375,2
1622,20-Aug-18,4,0,0,19,10:12:00,11:15:00,Jesse,3,20,5,0.55,22,7,2,0.410116318288409,0.5916727785823274,0.24489795918367352,2
1914,23-May-18,1,10,3,21,12:46:00,02:06:00,Jesse,1,20,15,0.518518519,14,4,2,0.5623351446188083,0.8112781244591328,0.375,2
1914,29-Jun-18,2,45,2,28,01:55:00,03:24:00,Jesse,1,20,15,0.518518519,14,28,6,1.330295900924286,0.7424522787634092,0.6479591836734695,6
1914,18-Jul-18,3,15,2-.3,21,12:37:00,01:54:00,Jesse,1,20,15,0.518518519,14,7,2,0.410116318288409,0.5916727785823274,0.24489795918367352,2
1914,21-Aug-18,4,90 but can see shadow,1,20,10:02:00,11:08:00,Jeese,1,20,15,0.518518519,14,14,3,0.8982053397041498,0.817581733764401,0.5612244897959184,3
1610,24-May-18,1,25,0,18,10:04:00,11:06:00,Jesse,3,20,5,0.604166667,29,0,0,0,-0,1,0
1610,25-Jun-18,2,15,1,18,12:30:00,01:32:00,Jesse,3,20,5,0.604166667,29,2,2,0.6931471805599453,1,0.5,2
1610,13-Jul-18,3,90-100 but could see shadow,2,29,01:09:00,03:22:00,Jesse,3,20,5,0.604166667,29,5,3,0.9502705392332347,0.8649735207179272,0.56,3
1610,14-Aug-18,4,85,1,25,10:00:00,11:35:00,Jesse,3,20,5,0.604166667,29,4,1,0,NA,0,1
1809,24-May-18,1,0,1.00,19,12:27:00,01:41:00,Jesse,1,35,5,0.618181818,34,7,3,0.796311640173813,0.7248340915057598,0.44897959183673464,3
1809,25-Jun-18,2,0,3.-4,20,02:03:00,03:37:00,Jesse,1,35,5,0.618181818,34,14,5,1.3690391777047681,0.8506318678887369,0.6836734693877551,5
1809,13-Jul-18,3,80 but light clouds,1,28,12:12:00,01:21:00,Jesse,1,35,5,0.618181818,34,21,4,1.15374194270109,0.8322488896002306,0.6485260770975056,4
1809,16-Aug-18,4,0,0,17,10:09:00,11:32:00,Jesse,1,35,5,0.618181818,34,34,9,1.6284316252677637,0.7411311715992065,0.7041522491349481,9
1501,24-May-18,1,0,1,24,02:22:00,03:40:00,Jesse,1,10,10,0.755102041,37,10,4,1.0888999753452238,0.7854752972273344,0.5800000000000001,4
1501,21-Jun-18,2,0,1,16,10:00:00,11:15:00,Jesse,1,10,10,0.755102041,37,11,1,0,NA,0,1
1501,10-Jul-18,3,70,4,28,01:30:00,03:02:00,Jesse,1,10,10,0.755102041,37,29,7,1.2639526613907779,0.6495431775225555,0.6135552913198574,7
1501,16-Aug-18,4,5 very light,1,22,12:35:00,01:50:00,Jesse,1,10,10,0.755102041,37,57,7,1.7359318613028607,0.89209250599037615,0.7891658971991382,7
1306,29-May-18,1,0,2,18,10:12:00,11:28:00,"Jesse, Dr. Heather K",1,5,5,0.431818182,19,7,4,1.1537419427010902,0.8322488896002307,0.6122448979591837,4
1306,12-Jun-18,2,5,2,25,12:20:00,01:45:00,Jesse,1,5,5,0.431818182,19,21,5,1.1753622605450231,0.7302936332395794,0.6031746031746033,5
1306,09-Jul-18,3,0,3,31,01:36:00,02:56:00,Jesse,1,5,5,0.431818182,19,33,4,1.0035976099480817,0.7239426474600569,0.5674931129476584,4
1306,27-Jul-18,4,40,0-1.,23,10:40:00,12:03:00,Jesse,1,5,5,0.431818182,19,19,4,1.2968916284109153,0.9355095604394199,0.7091412742382273,4
1352,29-May-18,1,0,1,21,12:30:00,01:43:00,"Jesse, Dr. Heather K",1,10,7,0.464285714,26,13,4,1.2658567518727373,0.9131226292013046,0.6982248520710059,4
1352,25-Jun-18,2,0.-10,1.-3,16,10:00:00,11:25:00,Jesse,1,10,7,0.464285714,26,8,3,0.9743147528693494,0.8868595071429147,0.59375,3
1352,16-Jul-18,3,60,1,25,10:00:00,11:34:00,Jesse,1,10,7,0.464285714,26,20,4,1.122372129066931,0.8096203523184246,0.615,4
1352,23-Aug-18,4,15,1,24,02:05:00,03:25:00,Jesse,1,10,7,0.464285714,26,43,7,1.4664817328214272,0.7536225316124511,0.7063277447268794,7
1220,30-May-18,1,12,3,21,10:00:00,11:10:00,Jesse,1,20,10,0.555555556,30,5,2,0.5004024235381879,0.7219280948873623,0.31999999999999984,2
1220,15-Jun-18,2,3,1,21,11:50:00,01:12:00,Jesse,1,20,10,0.555555556,30,9,6,1.7351264569629226,0.9683925140412225,0.8148148148148149,6
1220,10-Jul-18,3,45,1,24,10:23:00,11:59:00,Jesse,1,20,10,0.555555556,30,30,8,1.4981727034911145,0.7204687765739475,0.6688888888888889,8
1220,31-Jul-18,4,35,1,24,02:17:00,03:40:00,Jesse,1,20,10,0.555555556,30,12,6,1.704551445267297,0.9513282751069652,0.8055555555555556,6
1236,30-May-18,1,20,1,26,12:20:00,01:44:00,Jesse,1,10,10,0.388888889,14,15,5,1.4019454593787286,0.8710776902592273,0.72,5
1236,22-Jun-18,2,5,1,20,12:22:00,01:50:00,Jesse,1,10,10,0.388888889,14,82,5,0.8188709965884582,0.5087931570780538,0.41760856632956567,5
1236,18-Jul-18,3,10,2.-3,18,09:55:00,11:33:00,Jesse,1,10,10,0.388888889,14,8,3,0.7356219397587946,0.6695919455357792,0.40625,3
1236,20-Aug-18,4,50,1,26,02:08:00,03:10:00,Jesse,1,10,10,0.388888889,14,25,3,0.8300282389569186,0.7555242623065813,0.5344,3
1428,30-May-18,1,80,1,28,02:30:00,03:40:00,Jesse,1,8,15,0.456521739,21,8,5,1.3862943611198906,0.8613531161467861,0.6875,5
1428,22-Jun-18,2,3,0,17,09:59:00,10:20:00,Jesse,1,8,15,0.456521739,21,5,3,1.0549201679861442,0.9602297178607612,0.6399999999999999,3
1428,16-Jul-18,3,30,2,29,11:55:00,01:17:00,Jesse,1,8,15,0.456521739,21,23,3,0.8378972277814775,0.762686924608583,0.5368620037807184,3
1428,16-Aug-18,4,0,1,23,02:30:00,03:55:00,Jesse,1,8,15,0.456521739,21,46,6,1.3829806271925384,0.7718561843506645,0.668241965973535,6
